,,B,A,avg_B_normA,norm_A,sumB,sumA,norm_A-B
1,上海市,28004719,13834872,21903576.8,15802435,1400259601,1225913092,-12202283
2,临沧市,1357287,1261124.2,1398882.4,1440478,1400259601,1225913092,83192
3,丽江市,929933,794825,918897.8,907863,1400259601,1225913092,-22069
4,保山市,1577527,1609488.8,1707956.9,1838387,1400259601,1225913092,260860
5,大理市,2539917,2345977,2609766.7,2679616,1400259601,1225913092,139699
6,德宏州,996601,746233.8,924480.8,852361,1400259601,1225913092,-144239
7,怒江州,355755,278559.2,336964.9,318175,1400259601,1225913092,-37580
8,文山州,2271317,2166743.2,2373104.3,2474892,1400259601,1225913092,203576
9,昆明市,9048769,4712302,7215621.8,5382475,1400259601,1225913092,-3666294
10,昭通市,3345999,3558189.6,3705112.9,4064227,1400259601,1225913092,718228
11,普洱市,1423543,1215810.8,1406132,1388721,1400259601,1225913092,-34822
12,曲靖市,3767185,4035376.6,4188231.7,4609278,1400259601,1225913092,842093
13,楚雄市,1405233,1507501.8,1563563.8,1721895,1400259601,1225913092,316663
14,玉溪市,1863490,1676887.6,1889430.4,1915371,1400259601,1225913092,51881
15,红河州,2805462,2541784,2854366.4,2903271,1400259601,1225913092,97809
16,西双版纳,1173307,865355.8,1080866.1,988425,1400259601,1225913092,-184883
17,迪庆州,273011,176488.2,237299.3,201588,1400259601,1225913092,-71423
18,乌兰察布市,1298039,1279668.2,1379849.7,1461660,1400259601,1225913092,163620
19,乌海市,630944,496096.6,598796.9,566650,1400259601,1225913092,-64293
20,兴安盟,1347918,1206960,1363264.6,1378611,1400259601,1225913092,30693
21,包头市,2873355,2225168.8,2707490.8,2541627,1400259601,1225913092,-331727
22,呼伦贝尔市,2568312,2397615.2,2653455.2,2738598,1400259601,1225913092,170286
23,呼和浩特市,3141950,2182016.4,2817144,2492338,1400259601,1225913092,-649612
24,巴彦淖尔市,1511055,1263386,1477058.5,1443062,1400259601,1225913092,-67993
25,赤峰市,3772218,3658212.4,3975346.7,4178475,1400259601,1225913092,406256
26,通辽市,2958649,2854965.6,3109820.5,3260992,1400259601,1225913092,302343
27,鄂尔多斯市,2112566,1400053.4,1855865.9,1599166,1400259601,1225913092,-513400
28,锡林郭勒盟,979309,789960.2,940807.9,902307,1400259601,1225913092,-77002
29,阿拉善盟,328423,235289,298587,268751,1400259601,1225913092,-59672
30,北京市,37674254,16928493.6,28505139.7,19336025,1400259601,1225913092,-18338230
31,吉林市,3690322,3519940.2,3855429.9,4020538,1400259601,1225913092,330216
32,四平市,2447722,2518742.8,2662337.4,2876953,1400259601,1225913092,429231
33,延边朝鲜族自治州,1717663,1554202.2,1746449.8,1775237,1400259601,1225913092,57575
34,松原市,2394251,2369156.8,2550171.9,2706093,1400259601,1225913092,311842
35,白城市,1540651,1527320.8,1642591.8,1744533,1400259601,1225913092,203882
36,白山市,961377,985490,1043510.4,1125644,1400259601,1225913092,164267
37,辽源市,896760,922574.2,975270.4,1053781,1400259601,1225913092,157021
38,通化市,1748017,1801006.2,1902578.8,2057141,1400259601,1225913092,309125
39,长春市,8821128,6863959.2,8330632.2,7840136,1400259601,1225913092,-980993
40,乐山市,2652605,2622910,2824269.7,2995934,1400259601,1225913092,343329
41,内江市,2273360,3025666.4,2864664.9,3455970,1400259601,1225913092,1182610
42,凉山彝族自治州,2753058,2550923.6,2833383.9,2913710,1400259601,1225913092,160652
43,南充市,4912649,5871872.6,5809802.9,6706957,1400259601,1225913092,1794308
44,宜宾市,3745022,4116951,4223738.1,4702454,1400259601,1225913092,957432
45,巴中市,2518320,3061732,3007742.1,3497164,1400259601,1225913092,978844
46,广元市,2230972,2471888.6,2527203.5,2823435,1400259601,1225913092,592463
47,广安市,2785856,3681371.2,3495391.4,4204927,1400259601,1225913092,1419071
48,德阳市,3403902,3699085.8,3814531.7,4225161,1400259601,1225913092,821259
49,成都市,29508540,15480251.2,23595178.7,17681817,1400259601,1225913092,-11826724
50,攀枝花市,1125648,989608.2,1127998.2,1130348,1400259601,1225913092,4700
51,泸州市,3432611,3644348.2,3797624.8,4162639,1400259601,1225913092,730028
52,甘孜藏族自治州,463397,283839.6,393802,324207,1400259601,1225913092,-139190
53,眉山市,2301549,2661904.4,2671011.3,3040474,1400259601,1225913092,738926
54,绵阳市,5046555,5107016.2,5439939.7,5833324,1400259601,1225913092,786769
55,自贡市,1936382,2317432.2,2291697,2647012,1400259601,1225913092,710630
56,资阳市,2252008,3056522.4,2871611,3491214,1400259601,1225913092,1239206
57,达州市,3837997,4832073,4678638.1,5519279,1400259601,1225913092,1681282
58,遂宁市,2427170,2943428.8,2894602.8,3362036,1400259601,1225913092,934867
59,阿坝藏族羌族自治州,574764,504354.6,575423.7,576083,1400259601,1225913092,1318
60,雅安市,1389858,1341433.8,1461033.7,1532209,1400259601,1225913092,142351
61,天津市,16137311,10280690.4,13940048.6,11742786,1400259601,1225913092,-4394525
62,中卫市,962873,968267.8,1034423,1105973,1400259601,1225913092,143100
63,吴忠市,1287057,1270775.4,1369279.4,1451502,1400259601,1225913092,164445
64,固原市,1032226,1034231.8,1106772.1,1181318,1400259601,1225913092,149092
65,石嘴山市,773002,747413.4,813355.7,853709,1400259601,1225913092,80706
66,银川市,3186595,2167166.8,2830985.7,2475376,1400259601,1225913092,-711219
67,亳州市,3246375,4708656.4,4312343,5378311,1400259601,1225913092,2131936
68,六安市,2930716,4301885.4,3922203.1,4913690,1400259601,1225913092,1982973
69,合肥市,8678588,5113855.8,7259862.2,5841136,1400259601,1225913092,-2837452
70,安庆市,3858267,5563201,5106326.8,6354387,1400259601,1225913092,2496120
71,宣城市,1625927,1814477.4,1849227.4,2072528,1400259601,1225913092,446601
72,宿州市,3280623,4951205.8,4467989.1,5655355,1400259601,1225913092,2374732
73,巢湖市,2059043,2975194.8,2728681.5,3398320,1400259601,1225913092,1339277
74,池州市,945171,1215837.6,1166961.2,1388751,1400259601,1225913092,443580
75,淮北市,1574690,1914225.8,1880576.5,2186463,1400259601,1225913092,611773
76,淮南市,1682087,1800825.6,1869511.1,2056935,1400259601,1225913092,374848
77,滁州市,3088197,3785723.8,3706158.9,4324121,1400259601,1225913092,1235924
78,芜湖市,2498255,2012414.4,2398434.9,2298615,1400259601,1225913092,-199640
79,蚌埠市,2303759,2857921.4,2784063.7,3264368,1400259601,1225913092,960609
80,铜陵市,718528,655406.6,733572.5,748617,1400259601,1225913092,30089
81,阜阳市,5153969,7329623.6,6762997.7,8372026,1400259601,1225913092,3218056
82,马鞍山市,1159593,1039392.2,1173402.5,1187212,1400259601,1225913092,27619
83,黄山市,894827,1080188.8,1064319,1233811,1400259601,1225913092,338984
84,东营市,2367675,2007176.8,2330153.8,2292633,1400259601,1225913092,-75042
85,临沂市,9099866,10038057.4,10282756.4,11465647,1400259601,1225913092,2365781
86,威海市,2712667,2188196.2,2606031.4,2499396,1400259601,1225913092,-213270
87,德州市,3954357,4748993,4689370.7,5424384,1400259601,1225913092,1470026
88,日照市,2419124,2629958.8,2711554.3,3003985,1400259601,1225913092,584862
89,枣庄市,2831506,3313488.8,3308115.4,3784725,1400259601,1225913092,953220
90,泰安市,3930241,4591050.4,4587110,5243979,1400259601,1225913092,1313738
91,济南市,9583168,6168625.8,8314540.7,7045913,1400259601,1225913092,-2537255
92,济宁市,6482054,7538391.4,7546269.1,8610484,1400259601,1225913092,2128430
93,淄博市,4241385,4018290,4415573.3,4589762,1400259601,1225913092,348377
94,滨州市,3202859,3412193,3550163.1,3897467,1400259601,1225913092,694608
95,潍坊市,7989689,8152449.4,8650780.7,9311872,1400259601,1225913092,1322182
96,烟台市,6473744,5788223,6542577.6,6611411,1400259601,1225913092,137666
97,聊城市,4485647,5148895.6,5183403.3,5881160,1400259601,1225913092,1395513
98,莱芜市,962135,996799,1050347.8,1138561,1400259601,1225913092,176427
99,菏泽市,5512508,7543503.4,7064415.5,8616323,1400259601,1225913092,3103815
100,青岛市,11412948,8096142.6,10330252.4,9247557,1400259601,1225913092,-2165391
101,临汾市,4437826,4961856.8,5052673.6,5667521,1400259601,1225913092,1229694
102,吕梁市,3123206,3462287.4,3538945.8,3954686,1400259601,1225913092,831480
103,大同市,3087612,3247127.6,3398269.7,3708927,1400259601,1225913092,621314
104,太原市,6776177,4158133.6,5762835.6,4749494,1400259601,1225913092,-2026684
105,忻州市,2531046,3055546.6,3010572.5,3490099,1400259601,1225913092,959053
106,晋中市,4003072,3770971.6,4155171.1,4307270,1400259601,1225913092,304198
107,晋城市,2201640,2363280.8,2450510.5,2699381,1400259601,1225913092,497741
108,朔州市,1504442,1708601.2,1728017.9,1951594,1400259601,1225913092,447153
109,运城市,5463617,6634450.6,6520802.2,7577987,1400259601,1225913092,2114369
110,长治市,3287265,3498866,3641865.8,3996467,1400259601,1225913092,709202
111,阳泉市,1543588,1541925.6,1652401.6,1761215,1400259601,1225913092,217626
112,东莞市,22959475,8731653.4,16466462.1,9973449,1400259601,1225913092,-12986026
113,中山市,7979572,3309028.8,5879601.4,3779631,1400259601,1225913092,-4199941
114,云浮市,1837523,2592012,2399082.3,2960642,1400259601,1225913092,1123119
115,佛山市,15170518,6022305.8,11024650.9,6878784,1400259601,1225913092,-8291734
116,广州市,32235022,13129235.8,23615733.3,14996445,1400259601,1225913092,-17238576
117,惠州市,8292880,5498890.8,7286904.9,6280930,1400259601,1225913092,-2011950
118,揭阳市,5424641,6839936.8,6618668.8,7812697,1400259601,1225913092,2388056
119,梅州市,2991691,4602111,4124151.8,5256613,1400259601,1225913092,2264922
